Cuisine,Dish name,Dish,taste,temperature,spice level,sweet level,salt level,sour level,bitter level
Indian,pav bhaji,Pav Bhaji,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,carrot halwa,Carrot Halwa,Sweet,Cold,1,8.0,3.6578947368421053,4.0,3.4444444444444446
Indian,gulab jamun,Gulab Jamun,Sweet,Cold,1,9.0,3.6578947368421053,4.0,3.4444444444444446
Indian,rasamalai,Rasamalai,Sweet,Cold,1,9.0,3.6578947368421053,4.0,3.4444444444444446
Indian,jalebi,Jalebi,Sweet,Hot,1,9.0,3.6578947368421053,4.0,3.4444444444444446
Indian,kaju katli,Kaju katli,Sweet,Cold,1,9.0,3.6578947368421053,4.0,3.4444444444444446
Indian,chicken 65,Chicken 65,Spicy,Hot,6,0.0,3.6578947368421053,4.0,3.4444444444444446
American,fresh southern peach cobbler,Fresh Southern Peach Cobbler,Sweet,Cold,1,6.0,3.6578947368421053,4.0,3.4444444444444446
American,mcveggie burger,McVeggie Burger,Salty,Hot,3,5.930232558139535,6.0,4.0,3.4444444444444446
Indian,amul icecream,Amul Icecream,Sweet,Cold,1,8.0,1.0,4.0,3.4444444444444446
American,bananas foster,Bananas Foster,Sweet,Cold,1,7.0,1.0,4.0,3.4444444444444446
American,pastry,Pastry,Sweet,Cold,1,7.0,1.0,4.0,3.4444444444444446
American,pecan pie,Pecan Pie,Sweet,Cold,1,7.0,1.0,4.0,3.4444444444444446
American,texas sheet cake,Texas Sheet Cake,Sweet,Cold,1,7.0,1.0,4.0,3.4444444444444446
American,watergate salad,Watergate Salad,Sweet,Cold,1,6.0,1.0,4.0,3.4444444444444446
American,fresh baked cherry pie,Fresh baked cherry Pie,Sweet,Cold,1,6.0,1.0,4.0,3.4444444444444446
American,banana pudding,Banana Pudding,Sweet,Cold,1,6.0,1.0,4.0,3.4444444444444446
American,lemon bars,Lemon Bars,Sweet,Cold,1,6.0,1.0,4.0,3.4444444444444446
Indian,chicken tikka,Chicken Tikka,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Korean,khao suey,Khao suey,Spicy,Hot,5,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,chiken kadai,Chiken Kadai,Spicy,Hot,6,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Italian,pasta,Pasta,Salty,Hot,4,5.930232558139535,5.0,4.0,3.4444444444444446
Indian,indian,Indian,Spicy,Hot,0,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,chicken hyderabadi ,Chicken Hyderabadi ,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,kofta balls,kofta balls,Spicy,Hot,6,1.0,3.0,1.0,1.0
Indian,tomato dal with rice,Tomato Dal with Rice,Spicy,Hot,4,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,bisi bele bath,Bisi bele bath,Spicy,Hot,5,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Chinese,gobi manchurian ,Gobi Manchurian ,Spicy,Hot,7,5.930232558139535,3.6578947368421053,4.0,3.4444444444444446
Indian,kaaju katli,Kaaju katli,Sweet,Cold,1,9.0,3.6578947368421053,4.0,3.4444444444444446
